variant,revenue_month,signal_date,delay_trading_days,exec_date,exit_date,holding_days,market,stock_id,stock_name,industry,sur_3m,pre_ret_20d,avg_turnover_20d,margin_balance_pct_chg_5d,margin_deleveraging_intensity,no_new_10d_low,abnormal_turnover,entry_open,entry_close,exit_close,possible_limit_up_nonfill,gross_return,net_return
frr1_basic_deleveraging,2024-12,2025-01-13,3,2025-01-16,2025-02-24,20,otc,5425,台半,半導體業,1.71351441743462,-0.12998266897746968,66302835.0,0.0,0.11302079850197284,False,0.7496168765122598,52.6,52.8,56.1,False,0.06653992395437269,0.05653992395437269
frr1_basic_deleveraging,2025-03,2025-04-11,1,2025-04-14,2025-04-28,10,otc,5439,高技,電子零組件業,1.8947529123804139,-0.07165109034267914,2142083300.0,0.0,0.04675586246583226,False,2.090076251373697,151.0,147.5,143.0,False,-0.052980132450331174,-0.06298013245033117
frr1_basic_deleveraging,2025-03,2025-04-11,1,2025-04-14,2025-05-06,15,otc,5439,高技,電子零組件業,1.8947529123804139,-0.07165109034267914,2142083300.0,0.0,0.04675586246583226,False,2.090076251373697,151.0,147.5,157.0,False,0.039735099337748325,0.029735099337748323
frr1_basic_deleveraging,2025-03,2025-04-11,1,2025-04-14,2025-05-13,20,otc,5439,高技,電子零組件業,1.8947529123804139,-0.07165109034267914,2142083300.0,0.0,0.04675586246583226,False,2.090076251373697,151.0,147.5,182.0,False,0.20529801324503305,0.19529801324503304
frr1_basic_deleveraging,2025-03,2025-04-11,2,2025-04-15,2025-04-29,10,otc,5439,高技,電子零組件業,1.8947529123804139,-0.07165109034267914,2142083300.0,0.0,0.04675586246583226,False,2.090076251373697,150.5,152.0,146.0,False,-0.029900332225913595,-0.0399003322259136
frr1_basic_deleveraging,2025-03,2025-04-11,2,2025-04-15,2025-05-07,15,otc,5439,高技,電子零組件業,1.8947529123804139,-0.07165109034267914,2142083300.0,0.0,0.04675586246583226,False,2.090076251373697,150.5,152.0,153.0,False,0.01661129568106312,0.0066112956810631205
frr1_basic_deleveraging,2025-03,2025-04-11,2,2025-04-15,2025-05-14,20,otc,5439,高技,電子零組件業,1.8947529123804139,-0.07165109034267914,2142083300.0,0.0,0.04675586246583226,False,2.090076251373697,150.5,152.0,185.0,False,0.22923588039867115,0.21923588039867115
frr1_basic_deleveraging,2025-03,2025-04-11,3,2025-04-16,2025-04-30,10,otc,5439,高技,電子零組件業,1.8947529123804139,-0.07165109034267914,2142083300.0,0.0,0.04675586246583226,False,2.090076251373697,153.0,137.0,144.5,False,-0.05555555555555558,-0.06555555555555558
frr1_basic_deleveraging,2025-03,2025-04-11,3,2025-04-16,2025-05-08,15,otc,5439,高技,電子零組件業,1.8947529123804139,-0.07165109034267914,2142083300.0,0.0,0.04675586246583226,False,2.090076251373697,153.0,137.0,161.5,False,0.05555555555555558,0.04555555555555558
frr1_basic_deleveraging,2025-03,2025-04-11,3,2025-04-16,2025-05-15,20,otc,5439,高技,電子零組件業,1.8947529123804139,-0.07165109034267914,2142083300.0,0.0,0.04675586246583226,False,2.090076251373697,153.0,137.0,189.0,False,0.23529411764705888,0.22529411764705887
