variant,delay_trading_days,holding_days,cost,months_cash_counted,active_months,trades,avg_positions_all_months,total_return,ann_return,sharpe_cash_counted,mdd,monthly_win_rate,best_month,worst_month
frr3_volume_absorption,3,20,0.01,25,16,21,0.84,2.5144296819480156,0.8281437074794904,1.552820999832178,-0.1761770564723505,0.44,0.35451169188445664,-0.11735420641155125
frr5_conservative_liq100,1,10,0.01,25,17,29,1.16,0.06799720382910235,0.03208069698019811,0.24451859408396578,-0.2270906841714272,0.36,0.17352281929193802,-0.13396822704658523
frr5_conservative_liq100,1,15,0.01,25,17,29,1.16,0.01671609567171317,0.0079891456049761,0.1850156419642907,-0.29219207334310937,0.28,0.43642937212338606,-0.19253900949796476
frr5_conservative_liq100,1,20,0.01,25,17,29,1.16,0.42430196775075246,0.1850290467673512,0.6019092560781055,-0.20403733026929982,0.36,0.43092341777994636,-0.1655665524067011
frr5_conservative_liq100,2,10,0.01,25,17,29,1.16,0.21639301054529714,0.09858959065149842,0.4954259232206006,-0.22496538172590919,0.4,0.14773277034280397,-0.15401222854733293
frr5_conservative_liq100,2,15,0.01,25,17,29,1.16,-0.0507920397018683,-0.02471070259025554,0.09332273998682973,-0.32831022575095326,0.32,0.41316422653501317,-0.17850716398631783
frr5_conservative_liq100,2,20,0.01,25,17,29,1.16,0.2798382564803865,0.1257305241927793,0.4678682290241081,-0.3086106468122771,0.36,0.39557257972988313,-0.18993421779581737
frr5_conservative_liq100,3,10,0.01,25,17,29,1.16,0.39398015937675757,0.17285186933537022,0.6867604841498198,-0.19541575595277394,0.32,0.212423478161183,-0.1000739041794088
frr5_conservative_liq100,3,15,0.01,25,17,29,1.16,-0.13937445761028322,-0.0695118834797418,-0.01868201373023861,-0.3942815097275657,0.32,0.42083419312927506,-0.17046966731898244
frr5_conservative_liq100,3,20,0.01,25,17,29,1.16,0.36285253763263614,0.16020693274466224,0.5464015246272879,-0.2384559455821389,0.32,0.4223461602150127,-0.11735420641155125
frr5_capacity_liq200,1,10,0.01,25,14,22,0.88,-0.00037815336670832256,-0.0001815314658362155,0.09699691413529155,-0.22218853626009238,0.28,0.1956277056277056,-0.13396822704658523
frr5_capacity_liq200,1,15,0.01,25,14,22,0.88,0.08991586021961351,0.04219413961354679,0.2685604107396864,-0.27708387516620026,0.32,0.43642937212338606,-0.19253900949796476
frr5_capacity_liq200,1,20,0.01,25,14,22,0.88,0.4700354607635735,0.20314327894107786,0.6447686516978182,-0.20932336267160911,0.28,0.43092341777994636,-0.12038961038961037
frr5_capacity_liq200,2,10,0.01,25,14,22,0.88,0.07774751322727358,0.036592766957178835,0.2699504004217036,-0.15401222854733287,0.36,0.14384615384615373,-0.15401222854733293
frr5_capacity_liq200,2,15,0.01,25,14,22,0.88,0.047226301641829505,0.02239674883283116,0.2161509154365403,-0.25894932664014536,0.24,0.41316422653501317,-0.17850716398631783
frr5_capacity_liq200,2,20,0.01,25,14,22,0.88,0.3532079065548539,0.156258591573744,0.5403559490517371,-0.29534561526307956,0.28,0.39557257972988313,-0.14763564531689777
frr5_capacity_liq200,3,10,0.01,25,14,22,0.88,0.13086012347088682,0.06080673234553258,0.3563017061163833,-0.1827400992622218,0.24,0.212423478161183,-0.1000739041794088
frr5_capacity_liq200,3,15,0.01,25,14,22,0.88,-0.0328804225070739,-0.015919822274294892,0.11096387901472406,-0.3193297415211259,0.2,0.42083419312927506,-0.17046966731898244
frr5_capacity_liq200,3,20,0.01,25,14,22,0.88,0.3926743973480431,0.1723243994708259,0.587611717149366,-0.195012913490054,0.24,0.4223461602150127,-0.1041195852651363
