variant,delay_trading_days,holding_days,year,months,total_return,sharpe,mdd
frr3_volume_absorption,2,15,2025,11,0.11158987368464235,0.45384211770041866,-0.27285339645657003
frr3_volume_absorption,2,20,2024,10,0.7055642654614798,2.2060217119443033,0.0
frr3_volume_absorption,2,20,2025,11,0.8983358539730648,1.3800375643953786,-0.18993421779581743
frr3_volume_absorption,3,10,2024,10,0.11896417001379289,0.9665524316501992,-0.0811482114652049
frr3_volume_absorption,3,10,2025,11,0.042419094238294264,0.28407688901240086,-0.20882149092240354
frr3_volume_absorption,3,15,2024,10,0.3859022213360439,1.63443891086686,-0.03292576419213966
frr3_volume_absorption,3,15,2025,11,-0.028105409934224834,0.09575610800461012,-0.25679718429438425
frr3_volume_absorption,3,20,2024,10,1.0470943071658376,1.9980839013288556,-0.05475982532751078
frr3_volume_absorption,3,20,2025,11,0.7167893387450603,1.407542208645328,-0.17617705647235038
frr5_conservative_liq100,1,10,2024,10,0.09986667413287598,0.5245549999247159,-0.14953240989569327
frr5_conservative_liq100,1,10,2025,11,-0.028975757747091824,-0.027869052259525028,-0.22709068417142741
frr5_conservative_liq100,1,15,2024,10,-0.10577333866819916,-0.29159973124038996,-0.24652091375747853
frr5_conservative_liq100,1,15,2025,11,0.1369780611970175,0.4686837308314769,-0.27708387516620014
frr5_conservative_liq100,1,20,2024,10,-0.09280243614343697,-0.6093876838755184,-0.18803276707691408
frr5_conservative_liq100,1,20,2025,11,0.5700019758606281,1.1190569049937371,-0.16556655240670115
frr5_conservative_liq100,2,10,2024,10,0.009080518784433167,0.1660016119006972,-0.22496538172590919
frr5_conservative_liq100,2,10,2025,11,0.20544692708030676,0.8533031767732112,-0.15131606119846153
frr5_conservative_liq100,2,15,2024,10,-0.20381424129942838,-1.1311005809054069,-0.2708343008758808
frr5_conservative_liq100,2,15,2025,11,0.19219409531677956,0.57602233380471,-0.21599449540287607
frr5_conservative_liq100,2,20,2024,10,-0.25717937688038695,-2.3578844565470476,-0.27183548081803544
frr5_conservative_liq100,2,20,2025,11,0.7229438933796266,1.2826460547344072,-0.18993421779581743
frr5_conservative_liq100,3,10,2024,10,0.16639638162289017,0.7197898500826745,-0.19541575595277394
frr5_conservative_liq100,3,10,2025,11,0.19511701282647476,0.7398348209816141,-0.1827400992622219
frr5_conservative_liq100,3,15,2024,10,-0.2013611905666356,-0.8364618159638314,-0.32742885781857034
frr5_conservative_liq100,3,15,2025,11,0.07761547801606583,0.3637217116079026,-0.2465324230019983
frr5_conservative_liq100,3,20,2024,10,-0.2008139108923418,-1.7213545957212961,-0.2384559455821389
frr5_conservative_liq100,3,20,2025,11,0.7053006254830425,1.3052714682432458,-0.11735420641155114
frr5_capacity_liq200,1,10,2024,10,-0.01663256075540065,-0.029751121619840094,-0.13396822704658518
frr5_capacity_liq200,1,10,2025,11,0.016529332516011186,0.18330867286761565,-0.22218853626009227
frr5_capacity_liq200,1,15,2024,10,-0.13547170424747768,-0.6658080182772044,-0.19253900949796476
frr5_capacity_liq200,1,15,2025,11,0.26070582718279267,0.6858106722062538,-0.27708387516620003
frr5_capacity_liq200,1,20,2024,10,-0.10110584564762881,-0.7390564129212023,-0.16549303445695884
frr5_capacity_liq200,1,20,2025,11,0.6353821566708195,1.214902264218869,-0.12038961038961038
frr5_capacity_liq200,2,10,2024,10,-0.08002414906763144,-0.42910048234827197,-0.15401222854733287
frr5_capacity_liq200,2,10,2025,11,0.17149543885853946,0.7397748108182163,-0.15131606119846142
frr5_capacity_liq200,2,15,2024,10,-0.20478849042472924,-1.2934372136651815,-0.23096077550404126
frr5_capacity_liq200,2,15,2025,11,0.316915423169821,0.7963655152282603,-0.21599449540287607
frr5_capacity_liq200,2,20,2024,10,-0.1905638487977187,-1.7616109218268112,-0.2065342997971662
frr5_capacity_liq200,2,20,2025,11,0.6717907947957236,1.2568147686001485,-0.14763564531689788
frr5_capacity_liq200,3,10,2024,10,-0.07693724505185373,-0.7619988225930825,-0.1255039071286026
frr5_capacity_liq200,3,10,2025,11,0.22511727118099745,0.8001043287465232,-0.1827400992622218
frr5_capacity_liq200,3,15,2024,10,-0.18864532316704918,-0.8950574971797977,-0.2727935034787893
frr5_capacity_liq200,3,15,2025,11,0.191981269237258,0.5758128786657873,-0.1872499458007485
